ncic_code,category_code,category,description,is_drug,is_violent,
5206,52,WEAPON OFFENSES,EXPLOSIVES - USING,N,N,
5207,52,WEAPON OFFENSES,INCENDIARY DEVICE - POSSESS,N,N,
5208,52,WEAPON OFFENSES,INCENDIARY DEVICE - USING,N,N,
5209,52,WEAPON OFFENSES,INCENDIARY DEVICE -TEACHING USE,N,N,
5210,52,WEAPON OFFENSES,LICENSING - REGISTRATION WEAPON,N,N,
5211,52,WEAPON OFFENSES,EXPLOSIVES - POSSESSING,N,N,
5212,52,WEAPON OFFENSES,POSSESSION OF WEAPON,N,N,
5213,52,WEAPON OFFENSES,FIRING WEAPON,N,N,
5214,52,WEAPON OFFENSES,SELLING WEAPON,N,N,
5215,52,WEAPON OFFENSES,THREAT TO BOMB,N,Y,
5216,52,WEAPON OFFENSES,THREAT TO BURN,N,Y,
5217,52,WEAPON OFFENSES,WEAPON TRAFFICKING,N,N,
5299,52,WEAPON OFFENSES,WEAPON OFFENSE,N,N,
5301,53,PUBLIC PEACE,ANARCHISM,N,N,
5302,53,PUBLIC PEACE,RIOT - INCITING,N,N,
5303,53,PUBLIC PEACE,RIOT - ENGAGING IN,N,N,
5304,53,PUBLIC PEACE,RIOT - INTERFERE FIREMAN,N,N,
5305,53,PUBLIC PEACE,RIOT - INTERFERE OFFICER,N,N,
5306,53,PUBLIC PEACE,RIOT,N,N,
5307,53,PUBLIC PEACE,ASSEMBLY - UNLAWFUL,N,N,
5309,53,PUBLIC PEACE,HARASSING COMMUNICATION,N,N,
5310,53,PUBLIC PEACE,DESECRATING FLAG,N,N,
5311,53,PUBLIC PEACE,DISORD CONDUCT,N,N,
5399,53,PUBLIC PEACE,PUBLIC PEACE,N,N,
5401,54,TRAFFIC OFFENSES,HIT AND RUN,N,N,
5402,54,TRAFFIC OFFENSES,TRANSP-DANGEROUS MATERIAL,N,N,
5403,54,TRAFFIC OFFENSES,DRIVING UNDER INFLUENCE DRUGS,Y,N,
5404,54,TRAFFIC OFFENSES,DRIVING UNDER INFLUENCE LIQUOR,N,N,
5499,54,TRAFFIC OFFENSES,TRAFFIC OFFENSE,N,N,
5501,55,HEALTH - SAFETY,DRUGS - ADULTERATED,N,N,
5502,55,HEALTH - SAFETY,DRUGS - MISBRANDED,N,N,
5503,55,HEALTH - SAFETY,DRUGS - HEALTH OR SAFETY,N,N,
5510,55,HEALTH - SAFETY,FOOD - ADULTERATED,N,N,
5511,55,HEALTH - SAFETY,FOOD - MISBRANDED,N,N,
5512,55,HEALTH - SAFETY,FOOD - HEALTH OR SAFETY,N,N,
5520,55,HEALTH - SAFETY,COSMETICS - ADULTERATED,N,N,
5521,55,HEALTH - SAFETY,COSMETICS - MISBRANDED,N,N,
5522,55,HEALTH - SAFETY,COSMETICS - HEALTH OR SAFETY,N,N,
5599,55,HEALTH - SAFETY,HEALTH - SAFETY,N,N,
5699,56,CIVIL RIGHTS,CIVIL RIGHTS,N,N,
5701,57,INVASION OF PRIVACY,DIVULGE EAVESDROP INFO,N,N,
5702,57,INVASION OF PRIVACY,DIVULGE EAVESDROP ORDER,N,N,
5703,57,INVASION OF PRIVACY,DIVULGE MESSAGE CONTENTS,N,N,
5704,57,INVASION OF PRIVACY,EAVESDROPPING,N,N,
5705,57,INVASION OF PRIVACY,EAVESDROP EQUIP,N,N,
5706,57,INVASION OF PRIVACY,OPENING SEALED COMMUNICATION,N,N,
5707,57,INVASION OF PRIVACY,TRESPASSING,N,N,
5708,57,INVASION OF PRIVACY,WIRETAP - FAILURE TO REPORT,N,N,
5799,57,INVASION OF PRIVACY,INVADE PRIVACY,N,N,
5801,58,SMUGGLING,SMUGGLE CONTRABAND,N,N,
5802,58,SMUGGLING,SMUGGLE CONTRABAND INTO PRISON,N,N,
5803,58,SMUGGLING,SMUGGLE TO AVOID PAYING DUTY,N,N,
5899,58,SMUGGLING,SMUGGLING,N,N,
5999,59,ELECTION LAWS,ELECTION LAWS,N,N,
6099,60,ANTITRUST,ANTITRUST,N,N,
6101,61,TAX REVENUE,INCOME TAX,N,N,
6102,61,TAX REVENUE,SALES TAX,N,N,
6103,61,TAX REVENUE,LIQUOR TAX,N,N,
6199,61,TAX REVENUE,TAX REVENUE,N,N,
6201,62,CONSERVATION,CONSERVATION - ANIMALS,N,N,
6202,62,CONSERVATION,CONSERVATION - FISH,N,N,
6203,62,CONSERVATION,CONSERVATION - BIRDS,N,N,
6204,62,CONSERVATION,CONSERVATION - LICENSE-STAMP,N,N,
6205,62,CONSERVATION,CONSERVATION - ENVIRONMENT,N,N,
6299,62,CONSERVATION,CONSERVATION,N,N,
6300,63,MONEY LAUNDERING,MONEY LAUNDERING,N,N,
6400,64,EXPLOITATION/ENTICEMENT,EXPLOITATION OF A MINOR,N,N,
6401,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - MATERIAL TRANSPORT,N,N,
6402,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - MATERIAL PHOTOGRAPH,N,N,
6403,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - MATERIAL FILM,N,N,
6404,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - EXIBITION OF MINOR,N,N,
6405,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - SEX PERFORMANCE,N,N,
6406,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - VIA TELECOMMUNICATIONS,N,N,
6407,64,EXPLOITATION/ENTICEMENT,SEXUAL EXPLOITATION OF MINOR - PROSTITUTION,N,N,
6408,64,EXPLOITATION/ENTICEMENT,ENTICEMENT OF MINOR FOR INDECENT PURPOSES - VIA TELECOMMUNICATIONS,N,N,
6409,64,EXPLOITATION/ENTICEMENT,ENTICEMENT OF MINOR FOR PROSTITUTION,N,N,
6410,64,EXPLOITATION/ENTICEMENT,ENTICEMENT OF MINOR FOR INDECENT PURPOSES,N,N,
6411,64,EXPLOITATION/ENTICEMENT,HUMAN TRAFFICKING,N,N,
6499,64,EXPLOITATION/ENTICEMENT,EXPLOITATION/ENTICEMENT,N,N,
7099,70,GENERAL CRIMES,CRIMES AGAINST PERSON - (SPECIFY),N,N,
7199,71,GENERAL CRIMES,PROPERTY CRIMES - (SPECIFY),N,N,
7201,72,GENERAL CRIMES,ANIMAL CRUELTY,N,N,
7299,72,GENERAL CRIMES,MORALS - DECENCY CRIMES - (SPECIFY),N,N,
7399,73,GENERAL CRIMES,PUBLIC ORDER CRIMES - (SPECIFY),N,N,
8100,81,JUVENILE OFFENDERS,ESCAPE FROM CUSTODY,N,N,
8101,81,JUVENILE OFFENDERS,ABSCOND WHILE ON PAROLE,N,N,
8102,81,JUVENILE OFFENDERS,ABSCOND WHILE ON PROBATION,N,N,
